style_label,samples,win_rate,avg_kills,avg_losses,avg_units,avg_static,avg_walls,avg_cavalry,avg_ranged,avg_infantry,avg_siege
Infantry-frontline-heavy team,28,0.107,494.39285714285717,631.8214285714286,731.5714285714286,24.107142857142858,7.785714285714286,39.107142857142854,72.67857142857143,379.64285714285717,33.892857142857146
Infantry + firepower frontline team,9,0.333,679.6666666666666,758.2222222222222,881.5555555555555,39.55555555555556,20.22222222222222,61.888888888888886,165.0,340.55555555555554,42.111111111111114
Mobile cavalry-pressure team,9,0.222,270.1111111111111,280.77777777777777,379.3333333333333,22.333333333333332,10.555555555555555,152.88888888888889,62.666666666666664,37.888888888888886,29.88888888888889
Mixed-composition team,7,0.429,596.5714285714286,672.5714285714286,808.0,27.285714285714285,9.428571428571429,133.85714285714286,209.14285714285714,250.71428571428572,111.57142857142857
Ranged/firepower-heavy team,5,0.2,580.0,477.2,535.0,17.4,5.2,100.0,178.8,93.4,87.6
Turtle / layered-defense team,1,0.0,585.0,305.0,441.0,168.0,125.0,10.0,68.0,236.0,29.0
