apm,camera_events,castles,cavalry_units,chat_messages,commands,control_groups,duration_seconds,econ_structures,first_castle_minute,first_cavalry_minute,first_econ_structure_minute,first_infantry_minute,first_prod_structure_minute,first_ranged_minute,first_siege_minute,first_static_defense_minute,first_upgrade_minute,first_wall_gate_minute,infantry_units,kills,kl_ratio,leave_seconds,losses,map_name,name,pings,player_id,player_index,production_structures,ranged_units,replay_id,result,role_label,siege_units,source_name,static_defense,structures_done,team_id,units_born,upgrades,walls_gates
3.2,3155,0,6,4,151,17,2857,10,,1.017,2.917,6.25,5.883,11.95,22.917,6.783,1.033,14.2,47,39,0.5,1758,78,Age of Knights,Eatpie,0,7,6,6,15,c57d6e20dcac4a96,Win,Mixed/support,3,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (19).SC2Replay,36,51,0,122,19,28
7.9,2965,2,1,6,376,7,2857,17,21.35,1.017,1.85,4.817,4.35,10.6,18.15,13.983,1.033,,48,228,1.175,1745,194,Age of Knights,Lyle,0,8,7,6,7,c57d6e20dcac4a96,Undecided,Mixed/support,4,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (19).SC2Replay,5,25,0,171,23,0
2.9,640,0,1,10,26,0,539,3,,1.5,2.667,4.7,2.667,,,,1.683,,17,0,0.0,528,15,Age of Knights,xLongSwordx,0,1,0,4,0,c1badb8b5a8ce38b,Undecided,Mixed/support,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (20).SC2Replay,0,6,0,35,3,0
0.3,87,0,1,4,3,0,539,1,,1.5,3.367,,3.367,,,,0.0,,0,0,0.0,192,1,Age of Knights,cyberstone,0,2,1,1,0,c1badb8b5a8ce38b,Undecided,Mixed/support,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (20).SC2Replay,0,1,0,14,3,0
3.1,403,0,1,9,28,11,539,3,,1.5,2.767,6.45,2.767,,,,0.0,,8,0,0.0,539,10,Age of Knights,shermanator,0,3,2,3,0,c1badb8b5a8ce38b,Undecided,Mixed/support,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (20).SC2Replay,0,5,0,33,8,0
1.4,570,0,1,0,13,1,539,4,,1.5,4.683,,4.683,,,8.65,0.0,,0,0,0.0,,9,Age of Knights,Haxicon,0,4,3,1,0,c1badb8b5a8ce38b,Undecided,Mixed/support,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (20).SC2Replay,1,5,0,18,6,0
4.5,6763,3,64,12,325,7,4356,22,25.6,1.017,1.917,6.95,4.217,12.167,35.333,8.067,1.033,14.317,355,399,0.957,,417,Age of Knights,xLongSwordx,0,1,0,25,97,13e84b8814bbc631,Win,Siege-support player,88,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (21).SC2Replay,19,61,0,597,56,11
3.9,5611,10,1,18,286,317,4356,17,17.367,1.017,2.95,4.75,4.367,10.633,37.383,17.367,0.0,,574,1205,1.129,4356,1067,Age of Knights,shermanator,0,2,1,35,331,13e84b8814bbc631,Win,Main combat carry / pressure leader,240,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (21).SC2Replay,10,49,0,1083,30,0
6.5,8480,3,187,0,470,74,4356,18,28.817,1.017,1.833,8.533,7.283,19.133,29.517,8.15,0.0,8.15,306,620,0.685,4244,905,Age of Knights,Haxicon,0,3,2,18,248,13e84b8814bbc631,Undecided,Mixed firepower + mobile pressure,114,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (21).SC2Replay,24,56,1,899,43,17
6.7,6306,1,89,4,488,559,4356,9,22.217,1.017,1.9,5.767,4.6,11.233,39.117,8.133,0.0,12.917,212,565,1.05,4351,538,Age of Knights,Khuobol,0,4,3,9,192,13e84b8814bbc631,Undecided,Ranged firepower/support,96,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (21).SC2Replay,14,30,1,542,54,2
5.7,8213,1,24,11,413,1,4356,26,22.05,1.017,2.7,8.05,7.583,13.483,25.15,8.267,1.033,,740,438,0.552,,793,Age of Knights,JuliusCaesar,0,5,4,30,46,13e84b8814bbc631,Win,Mass-production support,21,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (21).SC2Replay,7,61,0,930,59,0
5.6,8522,1,19,0,409,0,4356,10,21.717,1.017,2.317,6.15,5.617,12.217,32.867,14.65,1.033,14.65,299,809,1.058,4182,765,Age of Knights,Beagle,0,6,5,12,336,13e84b8814bbc631,Undecided,Main combat carry / pressure leader,209,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (21).SC2Replay,4,24,1,740,53,3
3.5,5827,1,1,54,255,68,4356,13,18.117,1.017,1.65,7.933,7.433,24.9,33.1,8.933,1.033,,473,608,1.038,3918,586,Age of Knights,blank,0,7,6,11,165,13e84b8814bbc631,Undecided,Ranged firepower/support,11,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (21).SC2Replay,18,40,0,728,39,0
5.3,7720,2,119,1,384,41,4356,18,28.933,1.017,3.433,6.133,5.717,10.4,40.417,10.1,1.033,10.1,237,697,1.126,4228,619,Age of Knights,Turquetil,0,8,7,13,120,13e84b8814bbc631,Undecided,Siege-support player,85,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (21).SC2Replay,4,32,1,584,60,2
4.8,2214,0,3,9,82,0,1023,14,,2.483,3.8,11.567,8.067,,,12.767,0.0,12.767,9,0,0.0,,12,Age of Knights,ninja,0,1,0,8,0,233983c75be9d0f9,Undecided,Mixed/support,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (22).SC2Replay,7,28,0,61,11,7
4.2,1776,1,1,2,72,6,1023,11,16.85,2.483,3.033,10.8,7.333,16.15,,14.6,0.0,,14,0,0.0,,14,Age of Knights,SupremeBean,0,2,1,9,4,233983c75be9d0f9,Undecided,Mixed/support,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (22).SC2Replay,2,20,0,63,21,0
3.6,1257,0,1,23,62,58,1023,17,,2.483,3.867,11.833,9.5,16.7,,,0.0,,49,0,0.0,,11,Age of Knights,Sparky,0,3,2,10,2,233983c75be9d0f9,Undecided,Mixed/support,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (22).SC2Replay,0,26,0,96,11,0
6.7,1435,0,10,2,115,0,1023,12,,2.483,3.15,,7.85,,,9.633,0.0,9.633,0,1,0.062,,16,Age of Knights,Krieger,0,4,3,7,0,233983c75be9d0f9,Undecided,Mixed/support,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (22).SC2Replay,9,26,0,68,15,9
10.4,1159,0,9,2,178,239,1023,13,,2.483,3.117,,7.283,,,11.2,0.0,,0,2,0.167,,12,Age of Knights,Autumn,0,5,4,7,0,233983c75be9d0f9,Undecided,Mixed/support,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (22).SC2Replay,3,21,0,73,21,0
3.8,1135,0,1,2,64,37,1023,8,,2.483,3.2,7.3,6.383,15.833,,,0.0,,40,0,0.0,,8,Age of Knights,shermanator,0,6,5,8,6,233983c75be9d0f9,Undecided,Mixed/support,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (22).SC2Replay,0,14,0,89,12,0
5.5,1166,0,8,0,93,0,1023,5,,2.483,3.85,,8.283,12.1,,9.233,2.5,,0,0,0.0,,8,Age of Knights,KJackichan,0,7,6,3,5,233983c75be9d0f9,Undecided,Mixed/support,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (22).SC2Replay,2,8,0,50,14,0
3.8,1162,0,1,0,65,0,1023,12,,2.483,4.2,10.75,8.883,,,,0.0,,15,0,0.0,,12,Age of Knights,Oha,0,8,7,4,0,233983c75be9d0f9,Undecided,Mixed/support,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (22).SC2Replay,0,15,0,73,10,0
5.7,15786,7,10,14,464,11,4905,15,21.183,0.583,1.117,3.867,3.5,13.883,34.567,9.833,0.0,13.117,236,585,1.918,,305,Age of Knights,dirtmuscle,0,1,0,32,68,0842af3bba4fc343,Undecided,Defensive anchor / wall player,29,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (23).SC2Replay,168,204,0,441,51,125
3.0,2640,1,92,0,243,79,4905,20,17.55,0.583,1.383,,4.65,,,12.983,0.0,17.5,0,252,1.145,2104,220,Age of Knights,FriendlyBus,0,2,1,11,0,0842af3bba4fc343,Undecided,Cavalry pressure / mobile carry,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (23).SC2Replay,27,54,1,188,20,4
4.6,8767,14,1,31,380,356,4905,13,18.667,0.583,1.417,5.883,3.95,24.633,,10.35,0.0,16.267,234,911,1.894,4905,481,Age of Knights,Southern,0,3,2,36,160,0842af3bba4fc343,Undecided,Main combat carry / pressure leader,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (23).SC2Replay,36,69,2,572,29,14
2.0,1025,7,1,9,160,17,4905,17,22.5,0.583,0.967,3.283,2.867,6.383,,13.417,0.6,,646,905,0.805,840,1124,Age of Knights,Player 4,0,4,3,17,126,0842af3bba4fc343,Undecided,Main combat carry / pressure leader,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (23).SC2Replay,23,49,3,1070,28,0
0.0,0,0,1,0,0,0,4905,23,,0.583,0.967,3.783,3.5,7.55,27.717,,0.6,,512,341,0.35,,973,Age of Knights,Player 5,0,5,4,16,94,0842af3bba4fc343,Loss,Mass-production support,34,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (23).SC2Replay,0,34,4,929,23,0
0.0,0,0,1,0,0,0,4905,24,,0.583,1.333,7.367,6.55,,,3.65,0.0,,49,79,0.545,,145,Age of Knights,devbyzero,0,6,5,8,0,0842af3bba4fc343,Undecided,Mixed/support,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (23).SC2Replay,8,39,5,119,11,0
2.5,1560,1,1,0,50,0,1216,6,5.033,1.45,3.567,7.367,2.6,,4.6,5.033,1.417,,17,50,0.617,1193,81,Age of Knights,EvilPebbles,0,1,0,4,0,42a8cccfe71e1c9e,Undecided,Mixed/support,15,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (24).SC2Replay,1,10,0,69,15,0
3.8,1487,1,1,5,78,32,1216,15,4.167,1.45,1.983,3.117,2.55,8.717,13.55,4.167,1.417,,142,151,0.993,1216,152,Age of Knights,Player 2,0,2,1,11,16,42a8cccfe71e1c9e,Undecided,Mixed/support,12,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (24).SC2Replay,4,27,1,291,26,0
0.2,11,2,1,1,4,0,1216,12,5.217,1.45,2.767,8.917,2.767,,,5.217,0.0,,41,74,0.655,166,113,Age of Knights,Southern,0,3,2,14,0,42a8cccfe71e1c9e,Undecided,Mixed/support,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (24).SC2Replay,2,23,2,101,22,0
2.8,545,0,1,1,56,0,1216,0,,1.45,,,,,,,0.0,,0,6,0.3,719,20,Age of Knights,haidi,0,4,3,0,0,42a8cccfe71e1c9e,Undecided,Mixed/support,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (24).SC2Replay,0,0,3,20,19,0
6.4,1487,1,1,0,130,0,1216,14,4.25,1.45,1.883,3.117,2.5,7.217,14.55,4.25,1.417,,153,205,0.972,1208,211,Age of Knights,Player 5,0,5,4,10,26,42a8cccfe71e1c9e,Undecided,Mass-production support,12,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (24).SC2Replay,2,23,4,303,24,0
0.0,0,0,1,0,0,0,1216,6,,1.45,2.167,,4.467,9.717,,6.4,0.0,,0,32,0.39,,82,Age of Knights,regensis,0,6,5,3,10,42a8cccfe71e1c9e,Loss,Mixed/support,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (24).SC2Replay,1,10,5,69,22,0
0.0,0,1,1,0,0,0,1216,16,13.1,1.45,2.167,3.483,2.933,,,10.567,0.0,,87,275,1.786,,154,Age of Knights,nany,0,7,6,10,0,42a8cccfe71e1c9e,Undecided,Mixed/support,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (24).SC2Replay,3,28,6,159,20,0
0.0,0,1,1,0,0,0,1216,7,4.017,1.45,1.883,3.117,2.717,8.717,,4.017,1.417,,38,38,0.292,,130,Age of Knights,Player 8,0,8,7,5,4,42a8cccfe71e1c9e,Loss,Mixed/support,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (24).SC2Replay,1,11,7,116,13,0
2.6,1048,0,1,4,72,1,1667,14,,0.9,2.167,4.433,4.0,13.983,,4.95,0.0,7.617,55,30,0.176,1208,170,Age of Knights,UltraMarines,0,1,0,5,9,3937906f9a644319,Loss,Mixed/support,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (25).SC2Replay,22,39,0,128,20,15
6.8,4430,1,1,9,190,47,1667,26,11.1,0.9,1.683,4.45,3.167,,,6.2,0.9,15.35,303,255,1.635,,156,Age of Knights,walrus,0,2,1,24,0,3937906f9a644319,Undecided,Mass-production support,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (25).SC2Replay,17,65,1,389,20,2
3.4,2053,1,14,0,94,0,1667,16,16.933,0.9,4.5,15.767,7.8,15.5,,16.933,0.9,,18,61,0.587,1528,104,Age of Knights,Devistator,0,3,2,6,17,3937906f9a644319,Undecided,Mixed/support,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (25).SC2Replay,1,21,2,114,24,0
4.2,2855,0,1,2,116,98,1667,14,,0.9,1.683,6.267,2.9,12.217,,14.133,0.0,,57,59,0.331,1667,178,Age of Knights,Southern,0,4,3,13,35,3937906f9a644319,Loss,Mixed/support,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (25).SC2Replay,4,27,3,149,16,0
7.3,1681,1,1,0,202,0,1667,10,16.9,0.9,1.65,9.15,4.967,9.3,10.7,16.9,0.9,,61,166,1.612,1290,103,Age of Knights,bedwarnoob,0,5,4,8,22,3937906f9a644319,Undecided,Mixed/support,2,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (25).SC2Replay,1,16,4,170,24,0
8.7,3047,1,1,1,242,109,1667,18,17.733,0.9,2.733,6.1,4.3,9.333,,2.533,0.0,12.35,72,51,1.0,,51,Age of Knights,Tofu,0,6,5,8,15,3937906f9a644319,Undecided,Mixed/support,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (25).SC2Replay,15,38,5,179,38,2
0.2,118,0,1,1,10,6,2534,1,,0.7,2.633,,,,,,0.0,,0,0,0.0,171,10,Age of Knights,TheMule,0,1,0,0,0,3d4fd38094996589,Undecided,Mixed/support,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (26).SC2Replay,0,1,0,19,13,0
0.3,111,0,1,0,12,1,2534,1,,0.7,1.567,,,,,,0.0,,0,1,0.077,186,13,Age of Knights,Hallrunner,0,2,1,0,0,3d4fd38094996589,Undecided,Mixed/support,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (26).SC2Replay,0,1,1,20,10,0
4.7,3713,0,0,2,199,156,2534,0,,,,,,,,,,,0,0,,2534,0,Age of Knights,Southern,0,3,2,0,0,3d4fd38094996589,Win,Mixed/support,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (26).SC2Replay,0,0,3,0,0,0
5.6,3752,11,1,0,237,2,2534,25,19.083,0.7,1.467,6.167,3.817,15.633,33.867,19.083,0.0,,99,1,0.013,2529,79,Age of Knights,Gumer,0,4,3,34,56,3d4fd38094996589,Undecided,Mixed/support,18,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (26).SC2Replay,24,69,4,223,40,0
8.7,1903,0,1,8,324,183,2225,6,,0.35,0.933,19.7,6.6,,,4.65,0.0,4.65,136,550,3.216,2224,171,Age of Knights,iNtErCePt,0,1,0,6,0,5b6744d813b4fead,Win,Mixed/support,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (6).SC2Replay,37,48,0,188,23,32
3.6,3215,4,1,12,133,79,2225,10,20.6,0.35,1.317,8.3,5.3,9.167,,11.217,0.0,,88,342,2.533,2225,135,Age of Knights,shermanator,0,2,1,11,51,5b6744d813b4fead,Win,Mixed/support,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (6).SC2Replay,6,21,0,231,19,0
2.9,1021,0,1,10,108,13,2225,2,,0.35,1.0,,6.317,9.567,,3.133,0.0,5.05,0,32,0.711,1185,45,Age of Knights,Matrixx,0,3,2,3,32,5b6744d813b4fead,Undecided,Mixed/support,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (6).SC2Replay,11,15,0,64,16,9
10.1,2280,1,55,4,375,40,2225,21,22.817,0.35,1.033,,3.933,7.0,36.85,8.267,0.0,10.75,0,419,3.741,,112,Age of Knights,Karikaim,0,4,3,11,67,5b6744d813b4fead,Win,Mixed/support,3,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (6).SC2Replay,7,35,0,245,46,2
0.0,0,0,1,0,0,0,2225,10,,0.35,0.783,5.083,4.65,14.783,,,3.9,,230,105,0.246,,426,Age of Knights,Player 5,0,5,4,12,44,5b6744d813b4fead,Loss,Mass-production support,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (6).SC2Replay,0,21,1,399,5,0
0.0,0,0,1,0,0,0,2225,7,,0.35,0.767,4.783,4.417,21.533,,,3.9,,168,88,0.291,,302,Age of Knights,Player 6,0,6,5,12,4,5b6744d813b4fead,Loss,Mixed/support,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (6).SC2Replay,0,18,1,281,5,0
0.0,0,0,1,0,0,0,2225,9,,0.35,0.8,4.933,4.533,17.633,,,3.9,,199,92,0.251,,366,Age of Knights,Player 7,0,7,6,10,24,5b6744d813b4fead,Loss,Mass-production support,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (6).SC2Replay,0,18,1,345,5,0
0.0,0,0,1,0,0,0,2225,11,,0.35,0.767,5.683,4.883,19.133,,,3.9,,197,93,0.231,,403,Age of Knights,Player 8,0,8,7,12,32,5b6744d813b4fead,Loss,Mass-production support,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (6).SC2Replay,0,22,1,378,5,0
3.0,8246,1,30,22,225,166,4457,28,41.167,1.55,2.3,11.55,5.917,16.817,46.65,4.867,0.0,,63,76,0.141,4457,539,Age of Knights,shermanator,0,1,0,26,337,ea571ca2bcc53ece,Win,Ranged firepower/support,327,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (7).SC2Replay,7,56,0,572,25,0
1.4,3750,1,73,1,106,0,4457,13,22.35,1.55,3.467,,7.617,,,22.35,1.567,,0,529,3.48,1962,152,Age of Knights,ScariLD,0,2,1,12,0,ea571ca2bcc53ece,Undecided,Mixed/support,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (7).SC2Replay,1,21,0,175,22,0
5.0,8496,11,255,19,368,357,4457,17,24.733,1.55,2.717,,7.483,14.733,,24.733,0.0,,0,295,1.135,4260,260,Age of Knights,Actulot,0,3,2,30,141,ea571ca2bcc53ece,Win,Cavalry pressure / mobile carry,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (7).SC2Replay,11,42,0,394,47,0
7.2,3232,4,99,17,535,57,4457,17,27.867,1.55,2.217,30.433,6.333,11.017,30.317,27.867,0.0,,23,615,1.82,4259,338,Age of Knights,Karikaim,0,4,3,17,131,ea571ca2bcc53ece,Win,Cavalry pressure / mobile carry,98,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (7).SC2Replay,9,35,0,425,50,0
5.3,4553,2,1,51,394,0,4457,9,20.333,1.55,3.167,,5.817,,21.45,7.333,1.567,25.4,0,610,2.118,4259,288,Age of Knights,Derek,0,5,4,9,0,ea571ca2bcc53ece,Loss,Defensive anchor / wall player,14,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (7).SC2Replay,167,177,1,97,22,23
1.2,1430,0,2,1,88,0,4457,9,,1.55,3.083,10.567,6.95,32.6,,7.667,1.567,23.517,45,23,0.198,1553,116,Age of Knights,luciano,0,6,5,6,1,ea571ca2bcc53ece,Undecided,Mixed/support,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (7).SC2Replay,5,19,1,94,11,3
1.0,732,0,1,28,72,0,4457,4,,1.55,3.267,11.033,6.867,,,,0.0,,103,45,0.331,2193,136,Age of Knights,Popmasato,0,7,6,4,0,ea571ca2bcc53ece,Undecided,Mixed/support,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (7).SC2Replay,0,7,1,127,16,0
3.9,3781,1,1,23,289,118,4457,26,26.417,1.55,2.45,9.9,8.033,,,26.417,1.567,,932,345,0.324,2181,1064,Age of Knights,walrus,0,8,7,19,0,ea571ca2bcc53ece,Undecided,Mass-production support,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (7).SC2Replay,1,44,1,1018,22,0
3.4,3032,5,58,12,97,81,1731,14,14.983,0.6,1.967,,6.0,11.617,,5.233,0.0,5.233,0,19,0.339,1731,56,Age of Knights,shermanator,0,1,0,10,9,99b69aeab1389863,Win,Mixed/support,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (8).SC2Replay,34,52,0,125,18,28
11.2,896,0,42,7,323,162,1731,16,,0.6,1.2,3.9,3.5,9.533,23.967,13.717,0.0,,97,102,0.791,1729,129,Age of Knights,LKJ,0,2,1,15,64,99b69aeab1389863,Win,Mixed/support,13,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (8).SC2Replay,4,34,0,279,42,0
3.4,1612,1,1,1,99,0,1731,8,17.95,0.6,1.8,6.633,6.1,,,17.95,0.0,,47,39,0.722,1179,54,Age of Knights,Massacre,0,3,2,9,0,99b69aeab1389863,Undecided,Mixed/support,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (8).SC2Replay,1,16,0,102,19,0
1.9,1706,0,1,3,55,0,1731,5,,0.6,1.433,6.483,5.45,10.667,,14.633,0.0,14.633,15,9,0.333,1137,27,Age of Knights,Rebanik,0,4,3,4,5,99b69aeab1389863,Undecided,Mixed/support,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (8).SC2Replay,4,12,0,55,18,4
1.8,645,0,1,0,52,0,1731,3,,0.6,3.033,7.967,5.867,12.317,,9.467,0.617,13.267,10,29,0.569,967,51,Age of Knights,Rnaglie,0,5,4,3,8,99b69aeab1389863,Undecided,Mixed/support,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (8).SC2Replay,3,8,1,42,7,2
2.6,944,0,1,0,76,5,1731,5,,0.6,2.183,15.633,8.35,15.567,,,0.0,,5,14,0.452,963,31,Age of Knights,Blest,0,6,5,4,5,99b69aeab1389863,Undecided,Mixed/support,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (8).SC2Replay,0,8,1,53,18,0
3.7,2079,0,1,2,108,0,1731,9,,0.6,1.367,13.717,8.05,,,,0.617,,58,107,1.176,1726,91,Age of Knights,Acherus,0,7,6,8,0,99b69aeab1389863,Undecided,Mixed/support,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (8).SC2Replay,0,16,1,113,27,0
4.2,1451,0,1,0,121,0,1731,7,,0.6,1.883,13.85,7.25,17.217,,,0.0,,30,22,0.667,1179,33,Age of Knights,Zergkiller,0,8,7,7,8,99b69aeab1389863,Undecided,Mixed/support,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (8).SC2Replay,0,13,1,83,27,0
3.1,3560,6,158,4,117,99,2247,19,22.4,1.117,2.05,,5.55,,,4.483,0.0,4.483,0,134,0.68,2247,197,Age of Knights,shermanator,0,1,0,20,0,e9672d475c544234,Win,Cavalry pressure / mobile carry,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (9).SC2Replay,39,71,0,251,19,31
3.4,2227,1,95,4,128,9,2247,10,32.75,1.117,2.617,14.9,13.617,30.583,,10.75,0.0,10.75,2,15,0.17,1998,88,Age of Knights,Danadão,0,2,1,10,10,e9672d475c544234,Undecided,Cavalry pressure / mobile carry,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (9).SC2Replay,9,26,0,148,19,6
6.5,2394,3,100,0,244,11,2247,15,21.983,1.117,2.5,,5.933,11.583,,4.567,0.0,,0,7,0.06,2082,116,Age of Knights,Dein,0,3,2,14,99,e9672d475c544234,Win,Cavalry pressure / mobile carry,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (9).SC2Replay,5,30,0,212,34,0
