cavalry_to_now,infantry_to_now,kills_to_now,losses_to_now,map_name,player_id,player_index,player_name,ranged_to_now,replay_id,result,siege_to_now,snapshot_minute,source_name,static_defense_to_now,structures_done_to_now,team_id,units_born_to_now,upgrades_to_now,walls_gates_to_now
1,43,0,34,Age of Knights,4,3,Sighbull,0,6843f0df48c00171,Undecided,0,15,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (10).SC2Replay,0,8,1,80,11,0
1,62,0,46,Age of Knights,4,3,Sighbull,0,6843f0df48c00171,Undecided,0,20,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (10).SC2Replay,0,11,1,109,11,0
1,62,0,46,Age of Knights,4,3,Sighbull,0,6843f0df48c00171,Undecided,0,25,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (10).SC2Replay,0,11,1,109,11,0
1,62,0,46,Age of Knights,4,3,Sighbull,0,6843f0df48c00171,Undecided,0,30,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (10).SC2Replay,0,11,1,109,11,0
1,62,0,46,Age of Knights,4,3,Sighbull,0,6843f0df48c00171,Undecided,0,45,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (10).SC2Replay,0,11,1,109,11,0
1,62,0,46,Age of Knights,4,3,Sighbull,0,6843f0df48c00171,Undecided,0,60,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (10).SC2Replay,0,11,1,109,11,0
1,0,0,2,Age of Knights,5,4,Player 5,0,6843f0df48c00171,Undecided,0,5,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (10).SC2Replay,0,2,0,20,1,0
1,20,0,5,Age of Knights,5,4,Player 5,0,6843f0df48c00171,Undecided,0,10,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (10).SC2Replay,0,10,0,58,3,0
1,52,0,58,Age of Knights,5,4,Player 5,7,6843f0df48c00171,Undecided,0,15,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (10).SC2Replay,0,14,0,118,4,0
1,64,0,153,Age of Knights,5,4,Player 5,8,6843f0df48c00171,Undecided,0,20,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (10).SC2Replay,0,14,0,137,4,0
1,64,0,153,Age of Knights,5,4,Player 5,8,6843f0df48c00171,Undecided,0,25,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (10).SC2Replay,0,14,0,137,4,0
